timestamp,gpu_index,utilization.gpu,memory.used,memory.total,temperature.gpu,power.draw
2026-08-18T20:33:58+00:00,0,87,9814,12282,71,159.02
2026-08-18T20:34:03+00:00,0,80,9814,12282,71,161.74
2026-08-18T20:34:08+00:00,0,48,4734,12282,68,134.36
2026-08-18T20:34:13+00:00,0,87,8622,12282,72,158.98
2026-08-18T20:34:18+00:00,0,98,10454,12282,73,159.95
2026-08-18T20:34:23+00:00,0,82,11862,12282,70,158.99
2026-08-18T20:34:28+00:00,0,85,11862,12282,72,161.36
2026-08-18T20:34:33+00:00,0,81,11862,12282,71,160.12
2026-08-18T20:34:38+00:00,0,87,11862,12282,73,160.27
2026-08-18T20:34:43+00:00,0,18,7868,12282,65,125.03
2026-08-18T20:34:48+00:00,0,98,8568,12282,73,161.99
2026-08-18T20:34:53+00:00,0,92,8568,12282,72,160.77
2026-08-18T20:34:58+00:00,0,85,9682,12282,74,160.81
2026-08-18T20:35:03+00:00,0,89,10235,12282,74,160.68
2026-08-18T20:35:08+00:00,0,77,10234,12282,71,159.27
2026-08-18T20:35:13+00:00,0,55,7762,12282,70,123.31
2026-08-18T20:35:19+00:00,0,79,9068,12282,70,157.57
2026-08-18T20:35:24+00:00,0,77,9972,12282,73,159.80
2026-08-18T20:35:29+00:00,0,98,9972,12282,71,162.16
2026-08-18T20:35:34+00:00,0,88,10954,12282,73,160.34
2026-08-18T20:35:39+00:00,0,81,10954,12282,73,161.30
2026-08-18T20:35:44+00:00,0,2,3632,12282,64,143.05
2026-08-18T20:35:49+00:00,0,95,7658,12282,71,161.86
2026-08-18T20:35:54+00:00,0,77,9192,12282,71,162.65
2026-08-18T20:35:59+00:00,0,77,9192,12282,74,159.08
2026-08-18T20:36:04+00:00,0,94,9192,12282,73,160.87
2026-08-18T20:36:09+00:00,0,95,9704,12282,71,159.51
2026-08-18T20:36:14+00:00,0,80,9704,12282,71,161.94
2026-08-18T20:36:19+00:00,0,77,7438,12282,69,77.40
2026-08-18T20:36:24+00:00,0,93,9196,12282,69,161.77
2026-08-18T20:36:29+00:00,0,80,9196,12282,72,158.76
2026-08-18T20:36:34+00:00,0,82,10068,12282,71,162.85
2026-08-18T20:36:39+00:00,0,83,10068,12282,74,161.14
2026-08-18T20:36:44+00:00,0,87,11404,12282,71,161.26
2026-08-18T20:36:49+00:00,0,27,7780,12282,66,131.55
2026-08-18T20:36:54+00:00,0,80,9470,12282,72,159.39
2026-08-18T20:37:00+00:00,0,82,9470,12282,73,160.90
2026-08-18T20:37:05+00:00,0,87,9470,12282,72,161.74
2026-08-18T20:37:10+00:00,0,81,10858,12282,73,159.72
2026-08-18T20:37:15+00:00,0,80,10858,12282,71,161.91
2026-08-18T20:37:20+00:00,0,77,11856,12282,69,152.74
2026-08-18T20:37:25+00:00,0,75,6888,12282,71,121.07
2026-08-18T20:37:30+00:00,0,81,9208,12282,73,161.79
2026-08-18T20:37:35+00:00,0,76,11281,12282,69,159.86
2026-08-18T20:37:40+00:00,0,88,11281,12282,73,162.60
2026-08-18T20:37:45+00:00,0,79,11281,12282,73,159.33
2026-08-18T20:37:50+00:00,0,80,11281,12282,73,161.29
2026-08-18T20:37:55+00:00,0,3,2239,12282,60,102.06
2026-08-18T20:38:00+00:00,0,89,8591,12282,70,160.45
2026-08-18T20:38:05+00:00,0,88,8593,12282,71,161.38
2026-08-18T20:38:10+00:00,0,79,8593,12282,74,160.00
